Title,Music_Composer,Genre
Rani Ratnaprabha,S. Rajeswara Rao,Historical
Renukadevi Mahatyam,"L. Malleswara Rao
",Devotional
Runanubandham,P. Adinarayana Rao,Drama
Sahasra Siracheda Apoorva Chinthamani,K. V. Mahadevan,Drama
Samajam,"Ashwathama
",Comedy
Shanthi Nivasam,Ghantasala,Drama
Sri Krishna Rayabaram,"Ashwathama
",Mythology
Sri Venkateswara Mahatyam,Pendyala Nageswara Rao,Mythology
Vimala,S. M. Subbaiah Naidu,"Romance
"
Aasha Jeevulu,"M. S. Viswanathan
",Drama
Aatma Bandhuvu,K. V. Mahadevan,Drama
Appaginthalu,Ghantasala,Drama
Aradhana,S. Rajeswara Rao,Drama
Bhishma,S. Rajeswara Rao,Historical
Chitti Tammudu,Pendyala Nageswara Rao,Social
Dakshayagnam,S. Hanumantha Rao,Mythology
Gaali Medalu,T. G. Lingappa,Drama
Gulebakavali Katha,Ilaiyaraaja,"Romance
"
Gundamma Katha,Ghantasala,Drama
Kalimilemulu,"Ashwathama
",Drama
Khaidi Kannayya,Rajan-Nagendra,Drama
Kula Gotralu,Pendyala Nageswara Rao,Drama
Madana Kamaraju Katha,Rajan-Nagendra,Folklore
Mahamantri Timmarusu,Pendyala Nageswara Rao,Historical
Manchi Manasulu,K. V. Mahadevan,Drama
Mohini Rukmangada,K. V. Mahadevan,Folklore
Nagarjuna,Ilaiyaraaja,Devotional
Nuvva? Nena?,K. V. Mahadevan,Drama
Padandi Munduku,S. P. Kodandapani,Drama
Nichaya Thamboolam,"M. S. Viswanathan
",Family
Rakta Sambandham,Ghantasala,Drama
Siri Sampadalu,Master Venu,Drama
Swarna Gowri,M. Venkataraju,Folklore
Swarna Manjari,P. Adinarayana Rao,Folklore
Tiger Ramudu,Ghantasala,Drama
Samrat Pruthviraj (Rani Samyukta),"Pamarthi Venkateswara Rao
",Historical
Aapta Mitrulu,Ghantasala,Drama
Anubandhalu,M. B. Sreenivasan,Family
Anuragam,Pendyala Nageswara Rao,Family
Bandipotu,Ghantasala,Folklore
Bangaru Thimmaraju,S. P. Kodandapani,Drama
Chaduvukunna Ammayilu,S. Rajeswara Rao,"Romance
"
Constable Koothuru,Pendyala Nageswara Rao,Drama
Deva Sundari,S. Dakshinamurthi,Folklore
Edureeta,K. V. Mahadevan,Drama
Eedu Jodu,Pendyala Nageswara Rao,Drama
Guruvunu Minchina Sishyudu,S. P. Kodandapani,Folklore
Irugu Porugu,Master Venu,Drama
Lakshadhikari,T. Chalapathi Rao,Drama
Lava Kusa,Ghantasala,Mythology
Manchi Chedu,"M. S. Viswanathan
",Drama
Naga Devata (Dub),S. P. Kodandapani,Fantasy
Nartanasala,S. Dakshinamurthi,Mythology
Paruvu-Prathishta,Pendyala Nageswara Rao,Drama
Pempudu Koothuru,T. G. Lingappa,Drama
Punarjanma,T. Chalapathi Rao,Drama
Savati Koduku,Chellapilla Satyam,Social
Somavara Vratha Mahathyam,Master Venu,Devotional
Sri Krishnarjuna Yuddhamu,Pendyala Nageswara Rao,Mythology
Thalli Biddalu,"B. Shankara Rao
",Drama
Thirupathamma Katha,"P. Venkateswara Rao
",Devotional
Thobuttuvulu,"C. Mohan Das
",Drama
Valmiki,Ghantasala,Mythology
Vishnu Maya,"Malleswara Rao
",Devotional
Aada Brathuku,Ilaiyaraaja,"Romance
"
Aatma Gowravam,Ilaiyaraaja,Drama
Antastulu,Ilaiyaraaja,Drama
C.I.D.,Ilaiyaraaja,Drama
Chaduvukonna Bharya,Ilaiyaraaja,Drama
Chandrahasa,Ilaiyaraaja,"Romance
"
Devata,Ilaiyaraaja,Drama
Dorikithe Dongalu,Ilaiyaraaja,"Romance
"
Gudi Gantalu,Ilaiyaraaja,Drama
Jwala Dweepa Rahasyam,Ilaiyaraaja,"Romance
"
Keelu Bommalu,Ilaiyaraaja,"Romance
"
Mangamma Sapatham,Ilaiyaraaja,"Romance
"
Manushulu Mamathalu,Ilaiyaraaja,Drama
Naadi Aada Janme,Ilaiyaraaja,Drama
Pakkalo Ballem,Ilaiyaraaja,"Romance
"
Pandava Vanavasam,Ilaiyaraaja,Mythology
Prachanda Bhairavi,Ilaiyaraaja,"Romance
"
Prameelarjuneeyam,Ilaiyaraaja,"Romance
"
Pratignapalana,Ilaiyaraaja,"Romance
"
Preminchi Choodu,Ilaiyaraaja,Comedy
Sati Sakkubai,Ilaiyaraaja,"Romance
"
Satya Harishchandra,Ilaiyaraaja,"Romance
"
Sri Simhachala Kshetra Mahima,Ilaiyaraaja,"Romance
"
Sumangali,Ilaiyaraaja,Drama
Thene Manasulu,Ilaiyaraaja,Drama
Thodu Needa,Ilaiyaraaja,Drama
Uyyala Jampala,Ilaiyaraaja,Drama
Veelunama,Ilaiyaraaja,Social
Veerabhimanyu,Ilaiyaraaja,"Romance
"
Visala Hrudayalu,Ilaiyaraaja,"Romance
"
Zamindar,Ilaiyaraaja,Social
Aame Evaru?,Ilaiyaraaja,"Romance
"
Aastiparulu,Ilaiyaraaja,Drama
Adugu Jaadalu,Ilaiyaraaja,"Romance
"
Aggi Barata,Ilaiyaraaja,"Romance
"
Bhakta Potana,Ilaiyaraaja,"Romance
"
Bhimanjaneya Yuddham,Ilaiyaraaja,"Romance
"
Chilaka Gorinka,Ilaiyaraaja,Drama
Dr. Anand,Ilaiyaraaja,"Romance
"
Hantakulostunnaru Jagratha,Ilaiyaraaja,Drama
Kanne Manasulu,Ilaiyaraaja,Drama
Leta Manasulu,Ilaiyaraaja,Drama
Loguttu Perumallukeruka,Ilaiyaraaja,"Romance
"
Manase Mandiram,Ilaiyaraaja,Drama
Mangalasutram,Ilaiyaraaja,"Romance
"
Monagallaku Monagadu,Ilaiyaraaja,Action
Navaratri,Ilaiyaraaja,Drama
Palnati Yuddham,Ilaiyaraaja,Drama
Paramanandayya Sishyula Katha,Ilaiyaraaja,Drama
Pidugu Ramudu,Ilaiyaraaja,"Romance
"
Potti Pleader,Ilaiyaraaja,"Romance
"
Rangula Ratnam,Ilaiyaraaja,Drama
Sangeeta Lakshmi,Ilaiyaraaja,"Romance
"
Shakuntala,Ilaiyaraaja,"Romance
"
Sri Krishna Pandaveeyam,Ilaiyaraaja,"Romance
"
Shrimati,Ilaiyaraaja,"Romance
"
Sri Krishna Tulabharam,Ilaiyaraaja,"Romance
"
Srikakula Andhra Maha Vishnu Katha,Ilaiyaraaja,"Romance
"
Aada Paduchu,Ilaiyaraaja,Drama
Ave Kallu,Ilaiyaraaja,"Romance
"
